Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
2024-07-23,ICICIBANK,EQ,1241.15,1241.15,1248.65,1212.5,1227.0,1226.75,1233.33,19369832.0,23889418788.45,334507.0,"80,90,724",41.77
2024-07-24,ICICIBANK,EQ,1226.75,1225.0,1233.65,1202.05,1226.6,1223.0,1217.43,20122521.0,24497689858.5,303947.0,"75,59,944",37.57
2024-07-25,ICICIBANK,EQ,1223.0,1205.5,1218.25,1190.6,1196.8,1197.9,1199.56,14154461.0,16979148793.5,288588.0,"78,79,760",55.67
2024-07-26,ICICIBANK,EQ,1197.9,1190.0,1220.0,1185.95,1217.0,1207.2,1201.61,19309265.0,23202284062.95,257813.0,"1,23,40,898",63.91
2024-07-29,ICICIBANK,EQ,1207.2,1215.15,1242.75,1204.15,1210.55,1212.7,1223.16,28458261.0,34809114390.95,465385.0,"88,96,090",31.26
2024-07-30,ICICIBANK,EQ,1212.7,1213.0,1230.85,1204.4,1206.75,1209.45,1216.09,23972277.0,29152365084.55,326807.0,"93,97,526",39.2
2024-07-31,ICICIBANK,EQ,1209.45,1219.0,1224.65,1211.0,1216.1,1214.9,1216.75,22297629.0,27130602886.6,278794.0,"1,18,48,714",53.14
2024-08-01,ICICIBANK,EQ,1214.9,1212.5,1222.65,1206.9,1208.45,1210.1,1213.22,8725046.0,10585369513.15,166589.0,"51,62,505",59.17
2024-08-02,ICICIBANK,EQ,1210.1,1197.0,1201.65,1190.1,1197.3,1196.55,1196.16,10735395.0,12841271847.1,267701.0,"66,15,453",61.62
2024-08-05,ICICIBANK,EQ,1196.55,1182.0,1188.9,1167.0,1171.85,1172.6,1173.69,14306771.0,16791669195.4,303083.0,"89,28,367",62.41
2024-08-06,ICICIBANK,EQ,1172.6,1175.0,1187.7,1161.5,1167.7,1166.85,1169.06,13575619.0,15870778423.2,269178.0,"61,42,127",45.24
2024-08-07,ICICIBANK,EQ,1166.85,1178.95,1179.8,1161.6,1173.5,1172.45,1170.37,15753644.0,18437524153.2,268848.0,"64,49,023",40.94
2024-08-08,ICICIBANK,EQ,1172.45,1166.95,1174.4,1158.9,1164.7,1164.6,1166.37,10806438.0,12604262739.9,240108.0,"57,92,396",53.6
2024-08-09,ICICIBANK,EQ,1164.6,1176.55,1180.95,1169.0,1170.95,1171.6,1173.65,8687307.0,10195833284.65,161291.0,"60,55,216",69.7
2024-08-12,ICICIBANK,EQ,1171.6,1171.0,1178.25,1156.0,1172.5,1172.8,1170.54,10860455.0,12712620911.4,206013.0,"56,48,835",52.01
2024-08-13,ICICIBANK,EQ,1172.8,1183.2,1189.25,1163.6,1170.45,1168.35,1172.48,13117927.0,15380495808.3,260022.0,"60,08,482",45.8
2024-08-14,ICICIBANK,EQ,1168.35,1167.0,1170.05,1153.0,1161.2,1161.65,1159.56,13431801.0,15575000780.5,232399.0,"71,07,910",52.92
2024-08-15,ICICIBANK,EQ,1168.35,1167.0,1170.05,1153.0,1161.2,1161.65,1159.56,13431801.0,15575000780.5,232399.0,"71,07,910",52.92
2024-08-16,ICICIBANK,EQ,1161.65,1170.0,1193.0,1165.65,1188.5,1187.25,1181.45,10961370.0,12950302290.6,233289.0,"54,54,731",49.76
2024-08-19,ICICIBANK,EQ,1187.25,1191.0,1195.75,1173.3,1177.7,1175.9,1181.33,6686394.0,7898845446.25,123110.0,"30,30,789",45.33
2024-08-20,ICICIBANK,EQ,1175.9,1174.2,1189.8,1170.0,1177.3,1179.45,1181.26,10427061.0,12317105974.95,179266.0,"49,19,341",47.18
2024-08-21,ICICIBANK,EQ,1179.45,1177.0,1178.65,1165.1,1175.65,1174.85,1172.27,17234142.0,20203111541.65,232318.0,"82,63,320",47.95
2024-08-22,ICICIBANK,EQ,1174.85,1182.0,1192.6,1176.6,1190.85,1191.1,1187.45,8564142.0,10169462494.05,248029.0,"54,12,334",63.2
2024-08-23,ICICIBANK,EQ,1191.1,1193.0,1205.0,1188.55,1204.6,1203.5,1199.93,7518309.0,9021422625.6,173481.0,"47,57,508",63.28
2024-08-26,ICICIBANK,EQ,1203.5,1205.55,1214.95,1201.05,1213.8,1213.3,1211.0,10920226.0,13224400323.25,149344.0,"77,50,510",70.97
2024-08-27,ICICIBANK,EQ,1213.3,1213.3,1232.5,1208.9,1221.4,1226.35,1222.91,16295325.0,19927790422.65,196362.0,"91,62,721",56.23
2024-08-28,ICICIBANK,EQ,1226.35,1222.65,1226.4,1217.3,1221.0,1223.85,1223.2,12291305.0,15034780643.15,189822.0,"60,70,412",49.39
2024-08-29,ICICIBANK,EQ,1223.85,1218.95,1235.0,1217.0,1222.75,1221.9,1225.43,10806748.0,13242885244.55,234393.0,"59,98,619",55.51
2024-08-30,ICICIBANK,EQ,1221.9,1230.0,1235.55,1218.9,1232.0,1229.2,1228.19,21211148.0,26051302724.15,280420.0,"1,30,86,144",61.69
2024-09-02,ICICIBANK,EQ,1229.2,1239.0,1239.2,1222.5,1229.05,1229.95,1229.7,12516759.0,15391898359.8,303615.0,"81,25,381",64.92
2024-09-03,ICICIBANK,EQ,1229.95,1227.2,1250.95,1220.4,1247.0,1247.7,1236.45,19114907.0,23634702771.55,241160.0,"1,13,69,194",59.48
2024-09-04,ICICIBANK,EQ,1247.7,1239.85,1243.7,1232.8,1234.8,1236.35,1237.93,13505843.0,16719275265.8,239189.0,"81,81,463",60.58
2024-09-05,ICICIBANK,EQ,1236.35,1238.0,1244.85,1231.3,1235.35,1235.95,1235.75,9142811.0,11298202305.6,160981.0,"60,36,567",66.03
2024-09-06,ICICIBANK,EQ,1235.95,1225.95,1233.9,1205.0,1209.45,1208.15,1217.46,10170479.0,12382167972.95,347361.0,"53,77,433",52.87
2024-09-09,ICICIBANK,EQ,1208.15,1202.9,1238.3,1200.45,1233.45,1235.0,1225.45,13863250.0,16988666399.95,241629.0,"90,68,199",65.41
2024-09-10,ICICIBANK,EQ,1235.0,1236.95,1241.35,1227.0,1237.7,1237.3,1235.85,15545130.0,19211436678.4,323300.0,"94,22,327",60.61
2024-09-11,ICICIBANK,EQ,1237.3,1231.5,1239.3,1226.4,1238.0,1236.35,1234.69,11993242.0,14807986266.1,183989.0,"52,49,210",43.77
2024-09-12,ICICIBANK,EQ,1236.35,1238.0,1257.0,1226.35,1246.0,1252.15,1243.23,15376442.0,19116492463.75,211567.0,"89,28,331",58.06
2024-09-13,ICICIBANK,EQ,1252.15,1252.0,1255.95,1242.05,1248.5,1250.35,1249.5,9877288.0,12341663943.3,268203.0,"67,46,373",68.3
2024-09-16,ICICIBANK,EQ,1250.35,1251.0,1265.6,1244.7,1263.9,1262.85,1257.5,8973335.0,11284007408.7,165577.0,"64,15,744",71.5
2024-09-17,ICICIBANK,EQ,1262.85,1259.95,1272.25,1258.4,1266.2,1268.1,1267.18,11513121.0,14589189437.25,204010.0,"65,96,446",57.3
2024-09-18,ICICIBANK,EQ,1268.1,1262.0,1295.35,1262.0,1285.6,1288.35,1286.46,12466597.0,16037767362.2,240630.0,"61,57,977",49.4
2024-09-19,ICICIBANK,EQ,1288.35,1288.35,1300.0,1285.35,1292.6,1292.0,1293.4,13172268.0,17036955554.9,210277.0,"83,51,796",63.4
2024-09-20,ICICIBANK,EQ,1292.0,1295.0,1362.35,1291.55,1349.8,1338.45,1331.38,73257767.0,97533734303.1,544641.0,"4,42,37,266",60.39
2024-09-23,ICICIBANK,EQ,1338.45,1331.0,1331.8,1308.5,1322.0,1321.9,1320.13,11380409.0,15023616031.4,309380.0,"59,27,910",52.09
2024-09-24,ICICIBANK,EQ,1321.9,1321.0,1331.4,1315.45,1320.0,1318.6,1320.74,13886037.0,18339847790.4,250464.0,"86,91,426",62.59
